,precision,recall,f1-score,support
Safe,0.9473684210526315,0.8737864077669902,0.9090909090909091,103.0
Leak,0.5806451612903226,0.6990291262135923,0.6343612334801763,103.0
Exc.H,0.9902912621359223,0.9714285714285714,0.9807692307692307,105.0
XXE,0.7710843373493976,0.6213592233009708,0.6881720430107527,103.0
NPE,0.99,0.9428571428571428,0.9658536585365853,105.0
RCE,0.7471264367816092,0.6310679611650486,0.6842105263157895,103.0
SQLi,0.8110236220472441,1.0,0.8956521739130435,103.0
Unsafe API,0.9357798165137615,0.9902912621359223,0.9622641509433962,103.0
accuracy,0.8417874396135265,0.8417874396135265,0.8417874396135265,0.8417874396135265
macro avg,0.8466648821463612,0.8412274618585298,0.8400467407574854,828.0
weighted avg,0.8473580258609582,0.8417874396135265,0.8406905315975599,828.0
