epoch,loss,accuracy
1,2.0281,0.2198
2,1.6980,0.3635
3,1.4038,0.4819
4,1.1330,0.5954
5,0.9870,0.6787
6,0.8648,0.7138
7,0.8455,0.7186
8,0.7168,0.7609
9,0.7596,0.7403
10,0.7817,0.7428
11,0.6712,0.7778
12,0.8291,0.7162
13,0.7244,0.7621
14,0.6667,0.7693
15,0.6386,0.7971
16,0.7784,0.7295
17,0.7682,0.7222
18,0.8362,0.7126
19,0.6311,0.7899
20,0.6233,0.7947
21,0.5689,0.7995
22,0.5988,0.7790
23,0.6468,0.7778
24,0.5933,0.7923
25,0.5285,0.8237
26,0.7823,0.7428
27,0.5644,0.8019
28,0.5985,0.7923
29,0.6488,0.7874
30,0.7003,0.7826
31,0.5388,0.8176
32,0.6116,0.7850
33,0.5086,0.8261
34,0.5260,0.8104
35,0.7282,0.7488
36,0.6710,0.7693
37,0.6359,0.7874
38,0.6187,0.7862
39,0.5448,0.8237
40,0.5649,0.8152
41,0.5360,0.8213
42,0.5597,0.8056
43,0.4836,0.8345
44,0.4912,0.8345
45,0.5822,0.8007
46,0.4821,0.8442
47,0.6290,0.7778
48,0.5239,0.8333
49,0.5550,0.8031
50,0.6508,0.7645
51,0.6875,0.7440
52,0.5816,0.7886
53,0.5700,0.7790
54,0.5720,0.7802
55,0.5469,0.7874
56,0.6139,0.7597
57,0.5854,0.7633
58,0.6077,0.7717
59,0.6015,0.7754
60,0.6256,0.7766
61,0.5179,0.7971
62,0.5336,0.7947
63,0.5192,0.8140
64,0.5108,0.7995
65,0.6783,0.7766
66,0.6320,0.7693
67,0.6410,0.7693
68,0.6072,0.7778
69,0.5483,0.7826
70,0.5317,0.8056
71,0.5623,0.7911
72,0.5887,0.7838
73,0.5161,0.8128
74,0.5434,0.7947
75,0.5095,0.8056
76,0.5946,0.7850
77,0.5763,0.7911
78,0.5419,0.8007
79,0.4976,0.8188
80,0.6555,0.7657
81,0.5569,0.7959
82,0.5279,0.8080
83,0.5550,0.7911
84,0.4759,0.8176
85,0.5436,0.7935
86,0.4666,0.8237
87,0.4684,0.8333
88,0.4838,0.8188
89,0.5727,0.7886
90,0.5768,0.8092
91,0.5841,0.7935
92,0.4784,0.8128
93,0.5249,0.8043
94,0.4714,0.8273
95,0.4375,0.8285
96,0.4447,0.8394
97,0.5045,0.8213
98,0.5091,0.8056
99,0.4932,0.8213
100,0.5354,0.8237
